energy,time,theta,phi,xpos,ypos,zpos,
9.69218,21.5895,2.30438,0.7433,0.000853914,-5.88856e-05,6.39155e-05,
9.69252,2195.21,0.660347,2.54578,0.0026659,-0.000183839,0.000199543,
9.69184,3054.89,1.07162,1.11418,0.00139045,-9.58851e-05,0.000104075,
9.69143,2934.97,1.28597,1.8647,0.0030587,-0.000210927,0.000228944,
9.69234,3174.78,1.65542,0.892908,0.000528377,-3.64367e-05,3.95491e-05,
9.69262,415.216,2.74663,2.99646,4.53284e-05,-3.12583e-06,3.39284e-06,
9.69135,4575.07,1.81065,2.49159,0.00156197,-0.000107713,0.000116914,
9.69181,334.992,1.23842,2.08101,0.00308285,-0.000212592,0.000230751,
9.69166,6395.05,2.31536,0.0392773,0.0012957,-8.93508e-05,9.6983e-05,
9.69264,1525.46,2.13984,1.10827,0.00242731,-0.000167387,0.000181685,
9.69135,743.728,1.83411,1.38211,0.000509417,-3.51292e-05,3.81299e-05,
9.6916,31.7951,1.40292,2.17247,0.00106899,-7.37174e-05,8.00142e-05,
9.69259,827.812,1.87775,2.15222,0.00222595,-0.000153501,0.000166613,
9.69192,3977.69,2.34114,0.831542,0.000967559,-6.67225e-05,7.24219e-05,
9.69209,1979.94,1.28673,2.18346,0.00247003,-0.000170333,0.000184882,
9.69216,169.354,0.397005,2.17381,0.00121214,-8.3589e-05,9.07291e-05,
9.69284,643.607,1.14445,0.770222,0.00259607,-0.000179024,0.000194316,
9.69136,1395.82,2.16487,2.51669,0.00296229,-0.000204279,0.000221728,
9.69254,457.437,1.37687,0.960395,0.00138128,-9.52527e-05,0.000103389,
9.69283,921.137,2.98568,0.644532,1.21568e-05,-8.38332e-07,9.09941e-07,
9.69115,840.539,1.6193,2.00105,0.00120412,-8.30355e-05,9.01282e-05,
9.6912,484.875,0.590278,3.08405,0.0026732,-0.000184343,0.000200089,
9.69131,215.645,1.48641,1.39948,0.00301797,-0.000208118,0.000225895,
9.69223,1409.02,0.623365,1.07331,0.000441462,-3.04431e-05,3.30435e-05,
9.69165,243.285,1.77726,3.01085,0.0023309,-0.000160738,0.000174468,
9.69174,493.893,0.654042,0.325788,0.0023926,-0.000164993,0.000179086,
9.69127,28.9326,1.51964,2.75954,0.00237571,-0.000163828,0.000177822,
9.69183,761.445,1.29864,2.72475,0.00225005,-0.000155162,0.000168416,
9.69191,5236.74,0.187429,0.349928,0.002303,-0.000158814,0.000172379,
9.69164,1032.16,2.2941,1.39694,0.000905636,-6.24524e-05,6.77869e-05,
9.69121,10.9545,0.758406,1.89895,0.00182451,-0.000125817,0.000136564,
9.69298,810.94,2.35573,3.10631,0.000289452,-1.99605e-05,2.16655e-05,
9.69216,1719.56,1.06787,2.39955,0.00250214,-0.000172547,0.000187286,
9.69226,317.245,2.40613,1.5624,0.00170398,-0.000117506,0.000127543,
9.69276,49.8474,1.07488,0.0215938,0.00294181,-0.000202866,0.000220195,
9.69147,1838.49,2.00556,1.14937,0.00102929,-7.09798e-05,7.70428e-05,
9.69242,219.88,2.38443,0.550323,0.00189069,-0.000130381,0.000141518,
9.69172,22.9531,1.4124,2.78677,0.000250753,-1.72918e-05,1.87689e-05,
9.69204,806.503,1.82861,2.58834,0.00104253,-7.18927e-05,7.80337e-05,
9.69294,177.151,1.43895,2.25403,0.000895268,-6.17374e-05,6.70109e-05,
9.692,1496.79,0.583913,0.143095,0.000477023,-3.28953e-05,3.57052e-05,
9.69108,943.376,2.98254,0.75012,0.00209739,-0.000144635,0.00015699,
9.69285,151.604,1.72666,2.4535,0.00130956,-9.0307e-05,9.80209e-05,
9.69271,2965.58,1.72616,1.78334,0.00195476,-0.0001348,0.000146314,
9.69182,1303.1,0.842324,2.08076,0.00148154,-0.000102167,0.000110894,
9.69206,909.387,1.981,1.47206,0.00176319,-0.000121589,0.000131975,
9.69102,1486.46,1.01154,0.316231,0.0025829,-0.000178116,0.00019333,
9.69295,23.1404,1.52405,2.84228,0.00251292,-0.00017329,0.000188092,
9.6922,786.185,1.0008,0.248319,0.00292677,-0.000201829,0.000219069,
9.69185,4201.73,0.981299,1.31902,0.00260504,-0.000179643,0.000194988,
9.69242,153.58,1.23936,1.79413,0.000502888,-3.4679e-05,3.76412e-05,
9.69211,20.943,1.9331,0.629392,0.00293275,-0.000202241,0.000219516,
9.69183,3126.22,2.58978,1.36414,0.00176518,-0.000121726,0.000132124,
9.693,206.962,0.651569,2.79379,0.000674054,-4.64826e-05,5.0453e-05,
9.69213,679.512,1.58411,1.16277,0.00301562,-0.000207956,0.000225719,
9.69296,713.177,1.88227,1.46898,0.00118789,-8.19165e-05,8.89137e-05,
9.69297,83.6035,2.12374,1.06956,0.00177139,-0.000122154,0.000132589,
9.69234,261.653,0.26498,1.58571,0.000360902,-2.48877e-05,2.70136e-05,
9.69153,674.929,0.336503,0.932258,0.000148561,-1.02447e-05,1.11198e-05,
9.69145,3147.95,1.26272,3.0284,0.000925655,-6.38329e-05,6.92854e-05,
