energy,time,theta,phi,xpos,ypos,zpos,
9.6922,2965.78,1.02186,1.47933,0.0254706,0.00930618,0.00420199,
9.69277,2659.04,1.36121,1.62444,0.00609075,0.00220919,0.000997508,
9.69204,72.0359,2.63304,1.50042,0.00486735,0.00176117,0.000795218,
9.69192,1760.4,1.53396,0.81269,0.0120028,0.00437421,0.00197507,
9.69186,7223.3,2.48009,2.99772,0.02298,0.00839412,0.00379017,
9.69182,88.2403,2.02267,1.30586,0.0193112,0.00705057,0.00318352,
9.69287,8266.43,0.223469,1.22284,0.0101573,0.00369838,0.00166992,
9.69161,676.96,2.80936,2.9429,0.0125609,0.00457858,0.00206735,
9.69166,370.949,1.37514,1.81621,0.0256829,0.00938391,0.00423709,
9.69137,2320.35,0.426371,2.54389,0.0201424,0.00735496,0.00332096,
9.69181,587.354,0.583808,1.31252,0.0083657,0.00304228,0.00137367,
9.69195,766.191,1.08934,3.00736,0.0132998,0.00484918,0.00218954,
9.69216,910.848,2.49929,1.93975,0.0103889,0.00378318,0.00170821,
9.69144,1098.66,1.46035,0.86295,0.0285234,0.0104241,0.00470677,
9.69271,793.005,2.32354,2.40826,0.025467,0.00930484,0.00420139,
9.69261,755.642,0.806528,0.49485,0.00665917,0.00241734,0.0010915,
9.69217,3660.7,1.40456,3.04774,0.0117169,0.00426949,0.00192779,
9.69291,44.2676,0.974113,1.29945,0.0132698,0.00483818,0.00218457,
9.69105,2479.46,1.09424,0.326984,0.0314975,0.0115132,0.00519854,
9.69103,513.077,1.19624,2.84506,0.0311509,0.0113863,0.00514124,
9.69217,778.662,1.58731,0.0524712,0.0307835,0.0112518,0.00508049,
9.6928,1098.86,0.348237,2.15112,0.0118794,0.004329,0.00195466,
9.69126,737.448,2.53845,2.45113,0.0153765,0.00560967,0.00253292,
9.6927,688.613,1.25829,1.83655,0.000164621,3.90137e-05,1.76157e-05,
9.69269,1196.03,2.68265,2.46615,0.00595735,0.00216034,0.000975451,
9.69203,1262.66,1.93185,2.72906,0.0148491,0.00541652,0.00244571,
9.69274,261.491,2.3478,1.11775,0.0144458,0.00526884,0.00237903,
9.69183,880.504,1.00253,0.098622,0.0027123,0.000971984,0.000438878,
9.69149,829.148,1.09151,1.85853,0.0290944,0.0106332,0.00480119,
9.69244,55.9234,1.51703,2.05067,0.0125601,0.00457829,0.00206723,
9.6926,387.731,2.08572,0.364449,0.00411506,0.00148568,0.000670826,
9.69117,654.291,0.898541,1.37124,0.0028427,0.00101974,0.00046044,
9.69111,3431.62,0.833156,1.31626,0.0139057,0.00507104,0.00228971,
9.69101,423.31,1.48084,1.40019,0.00223587,0.000797515,0.0003601,
9.69107,229.665,0.285803,2.36808,0.0156383,0.00570553,0.0025762,
9.69164,2135.06,2.12455,0.2531,0.0143952,0.00525031,0.00237066,
