distanceDiff,timeDiff,
23.6406,10.8313,
11.2272,5.2794,
1.77925,0.841695,
28.8607,13.7837,
7.18391,3.29142,
1.96325,0.945475,
21.5833,10.7107,
11.574,5.75578,
3.30514,1.71637,
46.0154,21.0827,
11.871,5.43888,
20.2732,9.52013,
4.89345,2.39333,
24.5685,12.5865,
0.446111,0.23242,
26.4319,13.8874,
13.6185,6.23955,
18.7381,8.96637,
18.0557,8.2725,
0.879783,0.403529,
52.6326,24.2907,
9.93957,4.58743,
34.3254,15.7267,
6.62701,3.04411,
3.20465,1.47957,
10.4106,4.80831,
15.3168,7.07615,
2.83471,1.34056,
2.14685,1.05764,
6.69509,3.31593,
4.03555,1.99975,
4.94105,2.53232,
25.7878,13.2474,
0.648747,0.336495,
10.939,5.71358,
4.50856,2.37618,
21.0339,11.589,
4.7338,2.61645,
3.64602,2.10617,
15.4274,9.19459,
4.94863,2.96323,
11.7616,7.10936,
15.4409,9.39108,
33.7158,15.4474,
0.280643,0.132205,
5.99829,2.74821,
4.56181,2.11546,
9.11076,4.32261,
18.1667,8.94976,
17.2162,7.88787,
12.5589,5.76214,
32.3035,15.4716,
3.88829,1.78148,
15.3174,7.0532,
37.4037,17.3003,
5.64393,2.62735,
15.6429,7.28939,
6.91357,3.23882,
19.0524,8.94853,
0.843666,0.38654,
0.442488,0.203089,
1.79433,0.863081,
19.1164,8.7585,
1.17066,0.561644,
24.0109,11.735,
3.73958,1.71335,
19.9945,9.2139,
51.9425,23.9459,
6.11311,2.80082,
9.97848,4.59722,
58.2031,27.7292,
14.833,6.79597,
2.32106,1.06343,
0.827184,0.381423,
17.0463,8.01656,
25.4213,11.9739,
18.1497,8.60287,
12.3946,5.88119,
3.77344,1.72886,
8.09836,3.84979,
1.55778,0.713722,
10.3778,4.75675,
7.64852,3.66909,
15.0361,7.49662,
2.50613,1.31283,
23.4498,12.3043,
6.87247,3.78763,
5.46217,3.07626,
4.34422,1.99037,
2.04835,0.960268,
18.5412,8.70396,
9.15504,4.30405,
6.15177,2.81853,
0.401978,0.187032,
7.43564,3.55492,
0.53868,0.257953,
1.27572,0.614028,
17.453,8.43025,
1.60908,0.80748,
13.9311,7.24098,
12.2056,6.38591,
11.0144,5.91456,
1.39184,0.637693,
5.3959,2.48898,
5.33711,2.4623,
4.79027,2.21231,
10.7879,5.05158,
4.06216,1.91859,
5.83721,2.76818,
7.43361,3.67418,
8.83964,4.55932,
12.2526,6.62973,
0.49555,0.227044,
0.793141,0.378553,
2.86818,1.3141,
6.62255,3.03873,
18.3268,8.42253,
16.5158,7.64812,
2.06879,0.964318,
0.904816,0.422239,
21.3152,10.014,
25.2699,11.9332,
3.1148,1.42709,
3.50155,1.6824,
30.9458,14.1783,
25.3823,11.6293,
3.92692,1.88555,
46.1493,21.1441,
17.3152,7.96485,
1.93587,0.929079,
20.3257,9.75639,
2.1682,1.04242,
18.9065,9.12927,
2.81097,1.3633,
3.53439,1.71913,
7.10489,3.46615,
25.5699,12.4849,
0.923309,0.453792,
7.23463,3.31467,
2.46217,1.12813,
7.1445,3.43429,
4.46167,2.15131,
8.97508,4.11208,
11.3482,5.24697,
18.7954,8.61142,
14.4994,6.6472,
17.1022,7.85089,
5.29987,2.45471,
2.11132,0.979895,
4.3964,2.13698,
2.16801,1.05511,
45.8381,22.3777,
1.54293,0.706921,
12.2416,5.60868,
1.13738,0.529046,
9.55759,4.56641,
32.125,16.0218,
9.77563,4.47886,
8.47441,4.01095,
60.9603,27.9299,
35.4905,17.0642,
17.0128,7.79469,
4.54828,2.089,
0.929938,0.426066,
6.08372,2.79428,
11.0792,5.11402,
34.1278,16.3129,
8.61058,4.12182,
0.229631,0.105209,
10.3649,4.76538,
15.2483,7.20873,
7.62806,3.60952,
4.23223,1.93907,
3.86202,1.85719,
0.773236,0.371932,
58.7431,26.9141,
1.20752,0.553243,
6.17781,2.85608,
38.5468,17.892,
8.85622,4.11661,
8.79896,4.03139,
20.8453,9.55064,
3.33572,1.60031,
8.86047,4.26103,
20.7302,10.0377,
57.0785,26.1514,
4.76023,2.18098,
5.11619,2.44448,
1.98424,0.948584,
4.12063,1.88793,
11.4517,5.28941,
10.7404,4.97684,
1.44961,0.705089,
3.61733,1.76156,
16.7721,8.58173,
0.0271694,0.0139843,
0.827275,0.430811,
5.76184,3.00364,
21.0172,10.9845,
8.13878,3.72891,
10.4264,4.99591,
10.8012,4.94876,
44.7745,20.5396,
9.54186,4.54098,
