eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,nucleusRecoilEnergy,timeOfFlight,detector,
505040,971,59,71,0,2,0,0,0,77.746,A5,
505091,209,10,16,0,1,0,0,0,151.053,A0,
505224,322,17,28,0,1,0,0,0,146.056,A1,
505302,998,46,65,0,2,0,0,0,155.289,A1,
507874,342,29,20,0,2,0,0,0,147.596,A1,
509131,420,20,36,0,1,0,0,0,80.0413,A3,
510597,375,19,18,0,1,0,0,0,78.7326,A3,
510958,359,21,32,0,1,0,0,0,80.1387,A3,
512387,1080,61,73,0,1,0,0,0,79.966,A7,
513347,280,26,17,0,1,0,0,0,149.622,A1,
513775,676,41,46,0,1,0,0,0,77.1085,A4,
518415,592,32,35,0,1,0,0,0,81.0972,A4,
519457,1406,75,103,0,2,0,0,0,83.1173,A7,
519849,921,43,63,0,1,0,0,0,80.3548,A6,
521472,382,24,21,0,1,0,0,0,79.2113,A3,
523866,558,36,47,0,1,0,0,0,77.2948,A4,
524899,125,6,10,0,1,0,0,0,90.0388,A2,
525656,715,31,50,0,2,0,0,0,80.9647,A5,
526585,404,19,23,0,2,0,0,0,90.8093,A2,
526923,575,38,39,0,1,0,0,0,78.3673,A4,
526986,949,66,71,0,1,0,0,0,79.1427,A7,
527705,146,8,16,0,1,0,0,0,79.4571,A4,
532970,1086,54,80,0,1,0,0,0,83.6701,A7,
534099,761,41,74,0,1,0,0,0,80.4462,A5,
537265,1266,73,90,0,2,0,0,0,81.9753,A7,
537633,177,8,16,0,1,0,0,0,147.067,A0,
538367,1054,66,80,0,1,0,0,0,81.2385,A7,
539157,158,8,16,0,1,0,0,0,149.613,A0,
540961,206,14,11,0,1,0,0,0,149.092,A0,
541749,323,19,22,0,1,0,0,0,80.0132,A4,
542254,824,50,53,0,1,0,0,0,81.6082,A5,
542878,1040,57,66,0,2,0,0,0,80.5317,A5,
543413,839,44,52,0,2,0,0,0,153.489,A0,
545209,126,7,8,0,1,0,0,0,80.9882,A5,
545260,286,12,16,0,1,0,0,0,152.465,A1,
549298,347,21,26,0,1,0,0,0,91.285,A2,
549461,631,33,46,0,1,0,0,0,78.5051,A4,
549740,370,14,32,0,1,0,0,0,89.768,A2,
550455,1037,52,74,0,1,0,0,0,80.6858,A6,
552868,661,35,45,0,2,0,0,0,153.501,A1,
554194,943,59,56,0,1,0,0,0,82.6349,A6,
