eventID,energy,neutronAngle,timeOfFlight,external,numElastic,
715937,11.8521,0.441821,49.3531,0,1,
717750,11.6514,0.437995,46.6425,0,1,
718451,0,0,136.484,1,0,
718517,9.32585,0.391125,43.8033,0,1,
721149,15.236,0.502309,43.4927,0,1,
722370,12.7003,0.45767,46.4788,0,1,
722670,11.823,0.441269,46.9532,0,1,
723864,8.52926,0.373811,46.7035,0,1,
724822,47.7838,0.444012,47.9814,0,2,
727610,0,0,138.042,1,0,
728574,0,0,138.959,1,0,
728882,9.41683,0.393057,45.5652,0,1,
729393,9.96828,0.40458,46.6467,0,1,
729957,0,0,138.921,1,0,
730899,0,0,136.988,1,0,
732551,13.3102,0.468762,46.0982,0,1,
732984,11.7464,0.439809,56.6689,0,1,
733097,10.5721,0.416855,44.5186,0,1,
734738,0,0,138.713,1,0,
735394,0,0,138.08,1,0,
737338,0,0,137.443,1,0,
739036,5.84857,0.308887,48.1856,1,1,
743445,13.5213,0.472545,46.2619,0,1,
744083,13.9662,0.480427,43.857,0,1,
744526,0,0,137.496,1,0,
744931,9.3775,0.392223,43.18,0,1,
744984,0,0,140.594,1,0,
745146,0,0,135.945,1,0,
745235,171.11,1.43211,47.1994,0,2,
746564,12.1621,0.447674,46.447,1,1,
746883,0,0,139.297,1,0,
746897,11.6525,0.438015,46.4566,0,1,
747767,0,0,135.864,1,0,
748090,0,0,139.35,1,0,
749398,0,0,136.111,1,0,
751011,0,0,139.562,1,0,
751411,0,0,138.177,1,0,
752373,9.62054,0.39735,44.9732,0,1,
753562,0,0,139.767,1,0,
755062,11.1842,0.428963,43.6749,0,1,
755997,10.6617,0.418647,52.0306,0,1,
764388,0,0,139.276,1,0,
764565,0,0,136.718,1,0,
764671,0,0,148.223,1,0,
766213,0,0,136.78,1,0,
766848,0,0,136.712,1,0,
769125,0,0,138.1,1,0,
769391,11.6595,0.438149,49.4494,0,1,
771696,9.30127,0.390602,43.3874,0,1,
774036,0,0,136.305,1,0,
774978,10.1373,0.408051,46.6038,0,1,
776688,14.7452,0.493956,44.7267,0,1,
778514,0,0,139.917,1,0,
782099,10.1205,0.407706,47.8151,0,1,
783122,13.2858,0.468322,44.3446,0,1,
783260,8.67487,0.377032,43.8726,0,1,
