nucleusKineticEnergykeV,numPhotonsCreated,nucleusEnergykeVPost,
53.4877,442,0,
47.7798,416,0,
52.3474,434,0,
49.3754,424,0,
48.8675,420,0,
47.6513,416,0,
48.8594,425,0,
49.6315,425,0,
46.7088,410,0,
53.5686,439,0,
51.0138,431,0,
45.8644,406,0,
49.892,426,0,
45.9497,405,0,
53.1516,440,0,
46.2828,408,0,
54.5469,447,0,
46.7234,411,0,
53.5263,443,0,
51.509,435,0,
53.3086,441,0,
45.2478,405,0,
47.0081,412,0,
48.62,420,0,
50.358,430,0,
45.1466,399,0,
53.3606,441,0,
53.9386,444,0,
51.2194,429,0,
52.905,444,0,
47.0281,412,0,
45.5832,405,0,
45.8675,409,0,
49.7953,426,0,
52.2226,433,0,
49.1151,422,0,
50.0089,426,0,
51.2703,429,0,
52.532,435,0,
47.9446,420,0,
49.9665,428,0,
54.8359,446,0,
49.2283,426,0,
48.7684,419,0,
54.4826,444,0,
48.3811,420,0,
48.5813,420,0,
48.0686,418,0,
53.4417,440,0,
45.6171,404,0,
48.4597,421,0,
51.4299,436,0,
47.712,416,0,
47.0483,410,0,
51.8247,433,0,
51.2262,431,0,
53.0306,437,0,
49.3858,424,0,
48.3682,420,0,
46.1555,412,0,
54.4096,446,0,
54.6708,449,0,
47.178,413,0,
50.2474,427,0,
52.51,438,0,
53.5805,442,0,
51.5341,437,0,
51.8015,432,0,
46.3868,410,0,
52.6622,437,0,
52.1046,438,0,
51.7507,434,0,
48.832,421,0,
49.7918,424,0,
48.0334,422,0,
45.2845,406,0,
52.2997,440,0,
50.0906,432,0,
50.3825,426,0,
47.5188,410,0,
45.2294,407,0,
53.6648,439,0,
47.2996,414,0,
45.8509,407,0,
48.7524,418,0,
49.5945,424,0,
46.2942,407,0,
54.6607,449,0,
53.6828,445,0,
49.5579,423,0,
53.5739,440,0,
47.8725,418,0,
46.7206,411,0,
52.6625,441,0,
51.177,428,0,
51.3942,434,0,
45.7938,408,0,
50.0283,426,0,
49.3283,423,0,
48.1102,416,0,
53.3904,438,0,
47.4835,414,0,
48.8536,425,0,
49.4156,421,0,
48.8986,418,0,
52.266,439,0,
52.8902,438,0,
50.7015,429,0,
47.1146,416,0,
50.1786,427,0,
49.3785,426,0,
48.7315,418,0,
48.3774,419,0,
45.0149,405,0,
49.0077,418,0,
47.5525,416,0,
48.0082,416,0,
51.8092,434,0,
52.4078,437,0,
50.5182,430,0,
52.3163,440,0,
49.68,422,0,
49.4902,421,0,
46.953,412,0,
51.4787,434,0,
47.2549,415,0,
52.7602,440,0,
47.286,412,0,
49.714,420,0,
50.9621,427,0,
50.6155,426,0,
48.8404,420,0,
45.077,405,0,
47.466,415,0,
47.8288,415,0,
52.5491,442,0,
52.3045,438,0,
45.708,407,0,
50.2868,428,0,
54.4284,444,0,
50.5714,432,0,
50.3204,426,0,
49.8159,424,0,
46.2129,409,0,
47.3463,412,0,
51.4895,436,0,
48.9839,421,0,
45.6633,404,0,
52.021,434,0,
50.5878,429,0,
46.6398,408,0,
47.2059,414,0,
52.935,437,0,
45.7165,408,0,
49.5185,422,0,
49.7387,424,0,
45.4864,409,0,
45.2732,405,0,
49.4442,424,0,
48.9426,426,0,
53.5042,440,0,
53.0386,441,0,
45.4562,405,0,
46.8941,410,0,
49.8464,423,0,
49.6486,425,0,
51.8954,433,0,
50.628,430,0,
52.1546,437,0,
46.264,411,0,
46.2976,410,0,
51.3247,433,0,
53.0835,442,0,
52.6055,438,0,
51.3787,433,0,
50.6511,431,0,
46.986,412,0,
48.8317,421,0,
47.8385,416,0,
47.2861,417,0,
46.9799,411,0,
46.7476,411,0,
50.5508,429,0,
47.5698,418,0,
45.4322,401,0,
54.5579,446,0,
54.3894,446,0,
50.7468,428,0,
