eventID,eDep,
928,57.9401,
929,72.4131,
931,63.8126,
932,67.508,
934,68.8823,
935,54.5583,
937,68.7827,
938,58.9892,
939,69.8181,
940,62.312,
941,61.5797,
944,59.5671,
945,60.8163,
946,69.8317,
947,70.1205,
948,70.7207,
949,72.4845,
952,60.8834,
953,73,
955,71.9779,
960,62.7534,
961,58.0389,
963,73.5292,
965,53.3359,
966,52.506,
968,73.1298,
970,73.5007,
971,71.9981,
974,70.0157,
975,69.8132,
976,67.3194,
977,65.4126,
979,55.2825,
980,73.3271,
981,73.5291,
984,64.2954,
986,71.0775,
987,55.5264,
988,54.7875,
989,61.7817,
990,73.5267,
991,73.5287,
994,71.5963,
995,73.4409,
996,57.2203,
998,71.8424,
1000,73.4377,
1001,65.5258,
1002,67.7914,
1004,73.5144,
1008,62.1422,
1009,50.9058,
1011,71.5161,
1012,70.8748,
1013,72.1971,
1014,72.6992,
1016,72.8331,
1018,73.5232,
1019,58.1845,
1022,73.4153,
1023,70.7356,
1024,73.5294,
1025,58.6974,
1029,54.8456,
1030,71.3292,
1033,73.5291,
1034,73.5294,
1035,71.2265,
1039,68.2089,
1040,73.4717,
1042,59.5768,
1043,73.3067,
1045,72.8179,
1047,68.8688,
1048,54.7614,
1051,73.1778,
1052,60.3922,
1053,73.5291,
1054,52.0396,
1055,71.1578,
1056,61.6055,
1057,71.4369,
1059,66.8418,
1060,72.3337,
1061,68.8422,
1062,69.6049,
1064,73.4992,
1065,70.7508,
1066,65.7305,
1067,65.433,
1070,73.5289,
1071,56.4697,
1072,59.6577,
1073,72.3764,
1074,68.5492,
1076,72.9248,
1077,68.6247,
1081,73.5275,
1082,71.9824,
1083,73.249,
1084,68.1277,
1085,69.8021,
1087,57.2805,
1088,73.5294,
1089,65.8558,
1090,73.2313,
1091,66.5314,
1093,73.4766,
1094,62.7923,
1097,73.5071,
1098,57.6709,
1099,70.2165,
1100,70.6539,
1101,54.8163,
1102,63.222,
1103,73.4756,
1105,59.8826,
1106,73.517,
1109,69.2533,
1110,71.8884,
1111,72.9948,
1112,61.7077,
1115,73.513,
1117,71.7745,
1118,70.0975,
1120,67.8323,
1121,68.9988,
1123,58.595,
1124,71.4454,
1128,71.6109,
1129,72.7619,
1130,69.988,
1132,66.2884,
1134,69.0449,
1135,73.5294,
1136,72.7737,
1137,55.9651,
1138,71.3053,
1140,73.4805,
1141,67.7721,
1142,57.4477,
1144,73.3131,
1145,65.0847,
1146,68.8436,
1147,73.4466,
1148,73.518,
1149,57.987,
1150,55.8651,
1152,73.5259,
1154,72.0251,
1155,63.7684,
1156,69.9832,
1163,73.4857,
1165,73.4269,
1166,50.2784,
1167,73.5294,
1170,72.1409,
1171,72.6382,
1174,73.3965,
1175,73.5001,
1176,73.2199,
1178,73.5294,
1179,73.4697,
1180,52.4035,
1181,73.5203,
1184,57.8668,
1185,68.5519,
1187,60.0896,
1190,62.6782,
1191,52.9611,
1194,73.4536,
1197,70.5079,
1198,73.4465,
1199,73.0628,
1200,73.5294,
1201,71.447,
1202,57.8388,
1204,71.8903,
1205,73.4644,
1207,71.6712,
1210,70.4146,
1211,73.2215,
1212,73.529,
1213,69.0084,
1214,66.5939,
1217,70.9936,
1218,73.0553,
1220,69.4924,
1221,57.935,
1222,61.3807,
1224,73.0711,
1226,69.9641,
1228,66.3592,
1229,55.2796,
1231,54.0455,
1232,64.103,
1235,65.0993,
1236,71.9441,
1237,63.6962,
1240,73.0952,
1243,70.4106,
1244,51.722,
1245,50.1723,
1246,73.2633,
1249,73.2358,
1251,73.4337,
1253,69.8634,
1254,67.0618,
1256,59.9166,
1257,61.3587,
1258,73.2034,
1259,60.3268,
1260,64.4401,
1261,73.5294,
1262,68.8633,
1263,60.7807,
1264,69.3687,
1265,73.4829,
1266,63.152,
1267,73.5061,
1268,73.4451,
1269,73.5209,
1270,73.5049,
1271,73.4507,
1272,64.0849,
1274,54.6967,
1275,73.4976,
1276,73.4835,
1277,73.5127,
1278,63.33,
1279,58.6252,
1280,73.487,
1281,73.3612,
1282,66.7547,
1283,64.5912,
1284,70.1151,
1286,53.8694,
1287,56.0385,
1288,57.4658,
1289,63.5907,
1290,73.3701,
1291,71.1041,
1294,72.9067,
1296,65.3168,
1297,71.1621,
1298,72.0341,
1299,73.4871,
1300,73.2547,
1304,71.6511,
1305,53.6809,
1306,73.5283,
1308,73.1375,
1311,73.5291,
1312,67.513,
1315,73.4975,
1316,73.1968,
1317,73.4088,
1319,73.0757,
1320,72.9006,
1322,65.0914,
1323,69.2187,
1324,68.2325,
1326,52.6755,
1327,57.1042,
1328,73.3427,
1330,58.1764,
1331,73.0441,
1333,73.0834,
1334,68.5126,
1335,72.7108,
1336,73.2171,
1337,73.529,
1340,73.4351,
1341,73.5228,
1343,69.4093,
1344,64.3744,
1345,68.4728,
1346,59.9861,
1348,71.4686,
1349,71.5308,
1350,73.054,
1351,54.3465,
1352,72.3949,
1353,68.062,
1354,63.9705,
1355,71.4518,
1356,71.9109,
1358,65.5892,
1360,56.252,
1361,66.0536,
1362,73.5292,
1363,73.227,
1367,73.5219,
1368,73.5246,
1369,73.4607,
1374,68.0884,
1375,73.5294,
1376,73.5294,
1377,70.8129,
1378,73.2355,
1379,72.796,
1382,73.5294,
1387,73.5294,
1388,73.5113,
1390,59.2478,
1391,73.4989,
1392,56.9337,
1393,73.4306,
1395,72.7126,
1397,72.9248,
1400,73.2702,
1401,71.3378,
1403,73.5215,
1405,70.8532,
1408,72.7453,
1409,72.9133,
1411,63.6427,
1412,63.4389,
1413,65.7875,
1414,73.4614,
1417,60.6339,
1418,73.2166,
1419,56.4245,
1422,58.013,
1424,68.8814,
1425,69.9902,
1427,51.1341,
1431,73.4514,
1432,61.3224,
1433,72.5995,
1434,72.5235,
1436,73.5289,
1437,69.0697,
1438,69.7698,
1439,73.518,
1440,73.1397,
1442,57.9911,
1443,67.8599,
1444,72.0534,
1445,73.5294,
1446,68.0106,
1447,51.564,
1452,63.3072,
1453,73.474,
1454,73.0412,
1456,52.4492,
1457,61.6023,
1458,61.2785,
1459,59.0039,
1460,71.5022,
1463,73.5274,
1464,73.5292,
1465,59.3466,
1466,71.5825,
1467,57.9122,
1468,72.9948,
1470,64.7915,
1472,72.367,
1474,73.5243,
1475,60.1686,
1477,66.7304,
1481,70.8524,
1482,65.437,
1483,72.6583,
1486,55.6807,
1487,52.1248,
1488,73.5267,
1489,70.0796,
1490,69.9773,
1491,59.8802,
1492,73.5294,
1493,50.8036,
1494,68.9073,
1495,64.0791,
1496,73.0529,
1497,66.5645,
1498,68.5912,
1499,68.7395,
1500,60.9311,
1501,72.5345,
1506,73.2672,
1507,58.8505,
1510,72.3277,
1511,54.712,
1512,53.8161,
1513,73.5294,
1514,63.736,
1515,53.4762,
1516,73.5291,
1517,73.5191,
1518,65.5538,
1519,68.5581,
1520,63.5278,
1521,72.3355,
1522,62.4698,
1523,54.288,
1524,64.4665,
1525,73.4243,
1527,65.9073,
1528,66.2527,
1530,62.7181,
1532,56.8046,
1533,72.9485,
1534,71.7344,
1535,63.8392,
1537,51.7459,
1538,73.4693,
1539,59.5978,
1541,72.5021,
1542,58.8151,
1543,71.3845,
1545,66.7133,
1546,66.9678,
1547,73.5249,
1548,63.6338,
1549,63.8804,
1550,73.2884,
1551,73.4663,
1552,64.0908,
1553,67.2125,
1555,53.4403,
1558,67.8043,
1563,64.2287,
1564,52.8109,
1565,58.333,
1566,73.4019,
1567,66.3198,
1568,73.5274,
1569,59.6394,
1570,73.4669,
1572,68.5256,
1573,73.5217,
1574,73.5181,
1575,73.5275,
1576,73.5109,
1577,73.5284,
1578,73.2793,
1579,73.3101,
1581,67.4574,
1582,61.5735,
1583,73.3517,
1584,59.6233,
1585,65.2404,
1586,70.5252,
1587,73.5284,
1588,73.5294,
1590,63.8822,
1591,73.1693,
1592,73.5271,
1594,68.4026,
1595,68.7204,
1596,72.5191,
1597,58.9479,
1599,57.5016,
1602,66.4977,
1604,62.4611,
1605,73.5294,
1606,73.4559,
1607,63.8827,
1608,72.6725,
1609,62.2592,
1610,70.5997,
1611,73.5294,
1613,70.5041,
1614,67.8795,
1616,67.9191,
1617,57.6704,
1619,73.3893,
1620,65.9489,
1621,69.6147,
1622,73.5294,
1623,67.911,
1624,73.4816,
1626,65.0444,
1628,73.2041,
1629,59.6303,
1631,72.4438,
1632,67.5557,
1634,73.5294,
1636,73.4884,
1637,69.3073,
1639,72.3956,
1642,72.5161,
1643,73.5286,
1644,73.5072,
1645,73.3405,
1647,71.5201,
1648,72.303,
1649,70.0535,
1652,65.6665,
1654,70.1505,
1658,72.2282,
1659,53.1975,
1660,53.9509,
1661,68.5711,
1664,73.5279,
1665,72.9457,
1666,56.4517,
1667,66.1055,
1668,72.4911,
1670,72.2369,
1672,68.2374,
1673,73.5243,
1674,57.9686,
1675,71.5763,
1676,73.4587,
1677,73.5287,
1678,63.195,
1679,62.5861,
1681,64.9547,
1682,69.9087,
1684,51.0293,
1685,58.0792,
1686,66.8434,
1687,64.4251,
1688,72.8856,
1690,70.2399,
1691,55.668,
1692,58.2325,
1693,73.1277,
1694,72.7299,
1697,66.7243,
1698,69.5576,
1699,54.8161,
1700,73.5064,
1703,73.5217,
1704,72.6337,
1706,52.6883,
1708,71.6658,
1709,69.1553,
1711,73.4571,
1712,56.9935,
1713,57.7578,
1715,73.5288,
1717,69.4861,
1718,69.9405,
1719,61.036,
1720,73.4382,
1721,71.6054,
1723,71.1568,
1724,73.5291,
1725,73.1359,
1727,67.8472,
1728,73.3165,
1729,73.5294,
1730,71.1504,
1731,72.8226,
1733,73.3741,
1735,71.1501,
1739,57.6573,
1741,65.2654,
1742,73.4621,
1744,63.3622,
1746,72.2953,
1747,73.5159,
1749,73.5282,
1750,72.692,
1751,73.444,
1752,64.1634,
1753,68.8344,
1755,69.6701,
1757,56.2437,
1758,73.3053,
1759,65.496,
1764,69.7805,
1767,71.9109,
1768,72.9193,
1769,71.7461,
1773,73.2311,
1776,58.5914,
1779,73.4742,
1780,64.9207,
1781,66.9171,
1782,50.1028,
1784,63.5886,
1787,58.7387,
1788,73.4723,
1790,73.5189,
1791,73.1787,
1792,51.9247,
1793,72.5235,
1796,62.8011,
1797,65.018,
1798,69.1244,
1799,55.8096,
1804,73.0018,
1805,52.9177,
1806,63.4462,
1807,73.5252,
1808,71.7315,
1809,73.5292,
1811,71.5665,
1812,53.9121,
1813,52.1395,
1814,73.5284,
1815,73.5173,
1818,71.0164,
1819,73.5196,
1820,72.3553,
1822,61.1978,
1823,67.2385,
1825,61.4702,
1826,72.0005,
1828,73.5288,
1829,70.7444,
1830,70.8876,
1831,73.5284,
1832,63.1939,
1834,65.6402,
1835,72.5745,
1837,73.5288,
1839,56.7739,
1841,59.0458,
1842,61.3183,
1843,63.1271,
1846,64.0836,
1847,59.995,
1848,73.4397,
1855,68.942,
1856,66.5249,
1857,70.1862,
1858,71.8112,
1860,69.5293,
1862,58.6161,
1863,72.7259,
1864,72.9522,
1865,62.0375,
1867,73.5042,
1868,71.609,
1869,68.9935,
1872,73.3832,
1873,72.9873,
1874,73.519,
1876,73.5248,
1877,72.3678,
1878,73.3402,
1880,73.5291,
1881,70.9097,
1882,73.2757,
1885,72.7155,
1886,55.6299,
1887,69.2273,
1888,70.7808,
1889,53.6803,
1891,73.5212,
1893,58.1499,
1894,66.7743,
1896,72.977,
1897,73.5273,
1898,56.0223,
1899,67.5849,
1900,54.794,
1901,67.7005,
1902,56.7312,
1903,69.3185,
1905,73.5256,
1907,69.7551,
1908,60.0781,
1909,59.1642,
1910,73.5051,
1912,73.5293,
1915,62.3851,
1917,53.4254,
1918,58.4073,
1919,73.4883,
1923,68.4942,
1924,73.4149,
1925,51.251,
1926,72.8711,
1927,51.4027,
1928,54.212,
1929,73.5142,
1930,61.5816,
1931,55.5664,
1934,69.381,
1937,73.5292,
1938,69.8421,
1939,64.4012,
1940,72.8656,
1941,54.0252,
1942,72.7615,
1943,73.2811,
1945,73.5093,
1947,73.3289,
1953,50.5401,
1954,73.4491,
1955,72.9545,
1956,73.5038,
1958,73.4479,
1959,67.8482,
1960,68.1799,
1961,64.6196,
1964,54.4922,
1968,53.4673,
1969,73.5294,
1971,66.5257,
1973,52.1494,
1976,73.3355,
