energy;cx;cx_err
198670 eV ; 1.3585 b ; 0.086825 b
198710 eV ; 1.5222 b ; 0.086114 b
198760 eV ; 1.5262 b ; 0.065355 b
198850 eV ; 1.3917 b ; 0.045261 b
199150 eV ; 1.4081 b ; 0.023365 b
200000 eV ; 1.3673 b ; 0.015024 b
201460 eV ; 1.2791 b ; 0.012749 b
203300 eV ; 1.2050 b ; 0.012654 b
205140 eV ; 1.1084 b ; 0.012322 b
206950 eV ; 1.0107 b ; 0.012227 b
208850 eV ; 0.93351 b ; 0.011754 b
210770 eV ; 0.80450 b ; 0.011422 b
212680 eV ; 0.63284 b ; 0.011090 b
214640 eV ; 0.46429 b ; 0.010948 b
216620 eV ; 0.27342 b ; 0.010569 b
217890 eV ; 0.27026 b ; 0.019242 b
218440 eV ; 0.58652 b ; 0.019384 b
218860 eV ; 1.1152 b ; 0.027725 b
219150 eV ; 1.9040 b ; 0.028626 b
219430 eV ; 3.0874 b ; 0.031137 b
219600 eV ; 4.3046 b ; 0.064313 b
219670 eV ; 4.8232 b ; 0.066967 b
219750 eV ; 5.5322 b ; 0.071706 b
219820 eV ; 6.2618 b ; 0.077346 b
219890 eV ; 6.9867 b ; 0.084028 b
219960 eV ; 7.6340 b ; 0.090332 b
220030 eV ; 8.5789 b ; 0.098294 b
220100 eV ; 9.3395 b ; 0.10649 b
220170 eV ; 10.119 b ; 0.11469 b
220240 eV ; 10.667 b ; 0.12227 b
220310 eV ; 11.333 b ; 0.13123 b
220380 eV ; 11.812 b ; 0.14341 b
220450 eV ; 11.848 b ; 0.15085 b
220530 eV ; 12.424 b ; 0.16066 b
220600 eV ; 12.809 b ; 0.17190 b
220670 eV ; 12.285 b ; 0.15848 b
220740 eV ; 12.175 b ; 0.15502 b
220810 eV ; 12.031 b ; 0.15161 b
220880 eV ; 11.728 b ; 0.14919 b
220950 eV ; 11.246 b ; 0.14412 b
221030 eV ; 11.115 b ; 0.14175 b
221100 eV ; 10.304 b ; 0.13493 b
221170 eV ; 10.208 b ; 0.13393 b
221240 eV ; 9.6255 b ; 0.12668 b
221310 eV ; 9.4931 b ; 0.12403 b
221380 eV ; 8.8210 b ; 0.11398 b
221450 eV ; 8.5838 b ; 0.10834 b
221630 eV ; 7.6708 b ; 0.049905 b
221920 eV ; 6.5272 b ; 0.043223 b
222200 eV ; 5.6805 b ; 0.041469 b
222500 eV ; 4.9989 b ; 0.036682 b
222780 eV ; 4.5050 b ; 0.035308 b
223290 eV ; 3.8282 b ; 0.021517 b
224020 eV ; 3.1727 b ; 0.021848 b
224750 eV ; 2.7750 b ; 0.020332 b
225470 eV ; 2.4900 b ; 0.020427 b
226220 eV ; 2.2678 b ; 0.019384 b
226950 eV ; 2.0599 b ; 0.018626 b
227400 eV ; 1.9367 b ; 0.042370 b
227510 eV ; 1.9402 b ; 0.066825 b
227570 eV ; 2.1507 b ; 0.066445 b
227630 eV ; 2.3506 b ; 0.067014 b
227690 eV ; 2.1857 b ; 0.068341 b
227750 eV ; 1.9176 b ; 0.069573 b
227810 eV ; 1.9342 b ; 0.068910 b
227910 eV ; 1.8921 b ; 0.043223 b
229420 eV ; 1.6767 b ; 0.0093839 b
232280 eV ; 1.4265 b ; 0.0091943 b
235200 eV ; 1.2052 b ; 0.0093365 b
238200 eV ; 1.0461 b ; 0.0089573 b
241200 eV ; 0.88697 b ; 0.0086256 b
242800 eV ; 0.84471 b ; 0.038436 b
242970 eV ; 1.1415 b ; 0.037630 b
243060 eV ; 1.7955 b ; 0.087867 b
243100 eV ; 2.3859 b ; 0.091469 b
243130 eV ; 3.2286 b ; 0.096398 b
243160 eV ; 4.2260 b ; 0.10204 b
243200 eV ; 4.7205 b ; 0.10374 b
243230 eV ; 4.3824 b ; 0.10000 b
243260 eV ; 3.4060 b ; 0.092133 b
243290 eV ; 2.4234 b ; 0.086872 b
243330 eV ; 1.7420 b ; 0.084502 b
243360 eV ; 1.3772 b ; 0.083460 b
243390 eV ; 1.0349 b ; 0.083791 b
243430 eV ; 0.91864 b ; 0.083555 b
243480 eV ; 0.76193 b ; 0.053934 b
243610 eV ; 0.69260 b ; 0.037014 b
244290 eV ; 0.66856 b ; 0.013033 b
245590 eV ; 0.56808 b ; 0.014597 b
246270 eV ; 0.55652 b ; 0.037915 b
246380 eV ; 0.74349 b ; 0.071327 b
246430 eV ; 0.91571 b ; 0.071659 b
246480 eV ; 1.2403 b ; 0.070900 b
246530 eV ; 1.0725 b ; 0.070379 b
246580 eV ; 0.70003 b ; 0.069384 b
246630 eV ; 0.52502 b ; 0.067536 b
246680 eV ; 0.45204 b ; 0.065640 b
247380 eV ; 0.42116 b ; 0.013602 b
248740 eV ; 0.30970 b ; 0.012749 b
250090 eV ; 0.26906 b ; 0.012938 b
251320 eV ; 0.32341 b ; 0.014645 b
252360 eV ; 0.67378 b ; 0.014929 b
253420 eV ; 1.8209 b ; 0.016019 b
254040 eV ; 3.3166 b ; 0.036161 b
254280 eV ; 4.2559 b ; 0.037820 b
254500 eV ; 5.1435 b ; 0.039621 b
254730 eV ; 6.2700 b ; 0.044455 b
254970 eV ; 7.3026 b ; 0.047014 b
255200 eV ; 8.7720 b ; 0.052512 b
255340 eV ; 9.9225 b ; 0.11891 b
255390 eV ; 10.738 b ; 0.13370 b
255440 eV ; 11.109 b ; 0.14237 b
255500 eV ; 10.945 b ; 0.14024 b
255550 eV ; 10.297 b ; 0.13332 b
255600 eV ; 10.291 b ; 0.12867 b
255660 eV ; 10.534 b ; 0.13005 b
255710 eV ; 10.521 b ; 0.12910 b
255800 eV ; 10.439 b ; 0.082227 b
256060 eV ; 10.959 b ; 0.048673 b
256450 eV ; 10.588 b ; 0.048815 b
256840 eV ; 9.8528 b ; 0.045024 b
257230 eV ; 8.9419 b ; 0.042796 b
257630 eV ; 8.0109 b ; 0.039194 b
257880 eV ; 7.8077 b ; 0.075640 b
257950 eV ; 8.6007 b ; 0.14199 b
257990 eV ; 8.9751 b ; 0.14664 b
258020 eV ; 10.148 b ; 0.16716 b
258060 eV ; 11.188 b ; 0.18659 b
258100 eV ; 12.635 b ; 0.21739 b
258130 eV ; 13.580 b ; 0.24090 b
258170 eV ; 12.874 b ; 0.21730 b
258200 eV ; 11.799 b ; 0.19265 b
258240 eV ; 10.488 b ; 0.16588 b
258280 eV ; 9.2584 b ; 0.14583 b
258310 eV ; 8.5952 b ; 0.13536 b
258380 eV ; 7.8376 b ; 0.079479 b
258470 eV ; 7.0687 b ; 0.074313 b
258600 eV ; 6.6786 b ; 0.050806 b
258870 eV ; 6.0444 b ; 0.032796 b
259490 eV ; 5.2145 b ; 0.020237 b
260890 eV ; 4.0563 b ; 0.012891 b
262690 eV ; 3.1653 b ; 0.012180 b
264570 eV ; 2.5392 b ; 0.011659 b
265990 eV ; 2.1113 b ; 0.016066 b
266940 eV ; 1.7095 b ; 0.016588 b
267880 eV ; 0.91157 b ; 0.015024 b
268390 eV ; 0.44157 b ; 0.052796 b
268470 eV ; 0.91690 b ; 0.054028 b
268540 eV ; 1.7854 b ; 0.055924 b
268600 eV ; 2.8931 b ; 0.083981 b
268640 eV ; 3.8867 b ; 0.087630 b
268680 eV ; 4.9483 b ; 0.092133 b
268720 eV ; 6.2565 b ; 0.10024 b
268760 eV ; 7.5387 b ; 0.090237 b
268820 eV ; 9.0514 b ; 0.10341 b
268880 eV ; 9.2245 b ; 0.10673 b
268930 eV ; 8.9728 b ; 0.10384 b
268990 eV ; 8.2926 b ; 0.097678 b
269050 eV ; 7.6519 b ; 0.090948 b
269110 eV ; 7.1285 b ; 0.085782 b
269170 eV ; 6.6824 b ; 0.082038 b
269220 eV ; 6.1194 b ; 0.078768 b
269350 eV ; 5.3396 b ; 0.041232 b
269540 eV ; 4.5744 b ; 0.040237 b
269730 eV ; 4.0965 b ; 0.040853 b
270120 eV ; 3.5117 b ; 0.021896 b
270980 eV ; 2.9714 b ; 0.015118 b
272350 eV ; 2.5634 b ; 0.012844 b
273910 eV ; 2.3934 b ; 0.012512 b
274910 eV ; 2.4201 b ; 0.026066 b
275200 eV ; 2.6366 b ; 0.036588 b
275400 eV ; 3.3319 b ; 0.037630 b
275520 eV ; 4.3645 b ; 0.088863 b
275560 eV ; 5.2351 b ; 0.093744 b
275600 eV ; 6.2953 b ; 0.10355 b
275640 eV ; 8.0212 b ; 0.11900 b
275680 eV ; 9.7391 b ; 0.13948 b
275720 eV ; 12.300 b ; 0.17877 b
275760 eV ; 12.988 b ; 0.19341 b
275800 eV ; 12.648 b ; 0.18697 b
275840 eV ; 10.626 b ; 0.15573 b
275880 eV ; 8.6428 b ; 0.13303 b
275920 eV ; 7.1294 b ; 0.11905 b
275960 eV ; 5.3957 b ; 0.10806 b
276000 eV ; 4.3807 b ; 0.10332 b
276040 eV ; 3.9132 b ; 0.10147 b
276080 eV ; 3.5181 b ; 0.10057 b
276140 eV ; 3.0191 b ; 0.065687 b
276300 eV ; 2.5233 b ; 0.047678 b
276600 eV ; 2.2821 b ; 0.027962 b
277090 eV ; 2.1290 b ; 0.022844 b
278600 eV ; 1.9746 b ; 0.011754 b
281040 eV ; 1.8615 b ; 0.011185 b
283460 eV ; 1.7903 b ; 0.010995 b
