eventID,numPE,numPhotons,eDep,numElasticSensitive,numInelastic,nCapture,
1192,228,1580,422.42,3,2,0,
1193,1761,11514,909.363,13,3,0,
1194,56,414,31.2446,1,1,0,
1195,550,3239,1198.45,67,2,0,
1196,745,4808,1048.5,15,2,0,
1197,46,262,113.71,2,1,0,
1198,525,3198,355.348,27,2,0,
1199,1766,11337,672.819,21,3,0,
1200,168,1044,975.907,26,1,0,
1201,178,909,2560.19,61,1,0,
1202,339,2085,702.49,56,3,0,
1203,1871,12004,218.544,3,3,0,
1204,1304,8215,142.974,2,1,0,
1205,42,284,588.529,18,1,0,
1206,44,241,32.6739,1,1,0,
1207,336,2238,553.985,10,2,0,
1208,443,2971,204.518,12,2,0,
1209,232,1485,690.187,13,2,0,
1210,2406,12465,26.2368,1,1,0,
1211,290,1950,476.467,15,1,0,
1212,1930,12314,233.648,5,3,0,
1213,1817,11912,97.3891,3,2,0,
1214,556,2856,1390.03,62,1,0,
1215,487,3173,266.852,14,1,0,
1216,394,2249,1502.33,46,2,0,
1217,977,6798,263.72,7,2,0,
1218,1726,11410,267.432,8,2,0,
1219,70,488,520.575,15,1,0,
1220,2417,15954,166.567,16,2,1,
1221,226,1452,1430.26,57,2,0,
1222,1998,11754,1067.99,19,2,0,
1223,279,1710,579.01,14,2,0,
1224,176,1168,453.815,6,1,0,
1225,2096,12310,973.329,40,2,0,
1226,78,486,320.53,10,1,0,
1227,335,2108,1277.88,50,2,0,
1228,2238,13217,395.203,16,3,0,
1229,413,2441,1361.78,46,2,0,
1230,343,1986,447.601,11,2,0,
1231,2082,12712,620.385,11,2,0,
1232,26,251,69.3553,5,1,0,
1233,2181,12498,149.807,6,2,0,
1234,339,2169,1389.87,31,1,0,
1235,423,2433,853.463,28,2,0,
1236,2561,12473,410.879,20,3,0,
1237,1830,11293,387.096,7,2,0,
1238,1842,11225,1183.86,29,2,0,
1239,1681,10734,2.39518,1,2,0,
1240,936,5739,50.3291,1,1,0,
1241,158,1061,1926.24,59,1,0,
1242,1447,9298,505.914,10,2,0,
1243,73,381,1073.38,16,1,0,
1244,324,2073,102.852,5,1,0,
1245,2285,13028,144.148,5,2,0,
1246,396,2289,1997.53,80,2,0,
