numPhotons,numUp,numDown,eDep,
5867,0,0,0,
0,0,0,0,
5845,0,0,0,
4818,280,321,117.598,
5696,185,512,122,
0,0,0,0,
5422,0,0,0,
5727,0,0,0,
0,0,0,0,
5529,174,189,44.9514,
0,0,0,0,
5413,148,86,41.9223,
0,0,0,0,
5402,90,95,39.6818,
3035,0,0,0,
5047,0,0,0,
950,45,47,21.3929,
1727,100,108,40.8794,
5436,18,22,0,
5829,394,335,122,
5322,99,70,34.6279,
1227,0,0,0,
5789,0,0,0,
1449,0,0,0,
5840,341,372,122,
5538,31,20,3.97796,
5240,60,117,31.5367,
5348,60,47,4.39264,
5629,0,0,0,
654,28,47,16.1289,
969,35,30,15.088,
5416,344,299,122,
1321,0,0,0,
4845,2,5,0,
3269,0,0,0,
839,0,2,0,
