eventID,ExtScatter,CryoScatter,innerLayerScatter,outerCellScatterAngle,CryoScatterAngle,outerCellEDep,CryoEDep,innerLayerEDep,numElasticSensitive,numInelasticSensitive,
498,1,1,0,2.76679,0.324709,0,0,0,0,0,
499,0,1,0,0,1.83935,0,0,0,0,0,
500,3,0,0,0.42339,0,0,0,0,0,0,
501,4,0,1,1.17568,0,0,0,0,2,0,
502,0,1,0,0,0.448744,0,0,0,0,0,
503,3,0,0,2.2335,0,0,0,0,1,0,
504,0,0,0,0,0,0,0,0,0,0,
505,3,0,0,0.905515,0,0,0,0,0,0,
506,0,1,0,0,1.93857,0,0,0,0,0,
507,0,0,0,0,0,0,0,0,0,0,
508,2,0,0,0.573408,0,0,0,0,0,0,
509,4,0,0,1.52065,0,0,0,0,0,0,
510,2,0,0,0,0,0,0,0,1,0,
511,0,2,0,0,0.263109,0,0,0,0,0,
512,3,0,0,2.15843,0,0,0,0,0,0,
513,2,0,0,0.29994,0,0,0,0,1,0,
514,2,0,0,2.06535,0,0,0,0,1,0,
515,1,0,0,0,0,0,0,0,0,0,
516,1,0,0,0.562783,0,0,0,0,0,0,
517,0,1,0,0,0.815787,0,0,0,0,0,
518,4,0,0,2.62439,0,0,0,0,0,0,
519,1,0,0,0,0,0,0,0,0,0,
520,1,1,0,1.38944,0.594647,0,0,0,0,0,
521,3,0,0,nan,0,0,0,0,0,0,
522,1,0,0,2.13692,0,0,0,0,0,0,
523,4,1,0,1.32505,1.99118,0,0,0,0,0,
524,1,0,0,0,0,0,0,0,0,0,
