process,distance,
compt,13.2325,
compt,11.11,
compt,15.7796,
compt,14.425,
compt,15.0331,
compt,13.4206,
compt,10.0242,
compt,15.2427,
compt,10.5451,
compt,15.8956,
compt,39.7971,
compt,13.8109,
compt,13.216,
compt,16.4804,
compt,19.1671,
compt,20.3929,
compt,22.5546,
compt,16.7619,
compt,10.9189,
compt,54.422,
compt,28.7355,
compt,16.263,
compt,10.6631,
compt,30.7936,
compt,14.5706,
compt,64.8058,
compt,12.7955,
compt,17.3208,
compt,10.6136,
compt,34.3454,
compt,15.2411,
compt,11.7124,
compt,14.4081,
compt,55.3573,
compt,54.3036,
compt,19.3958,
compt,12.8355,
compt,10.0255,
compt,16.128,
compt,27.6741,
compt,26.989,
compt,34.5389,
compt,21.6177,
compt,19.4062,
compt,15.9949,
compt,14.6945,
compt,17.8319,
compt,19.2648,
compt,17.602,
compt,12.833,
compt,16.1257,
compt,20.4465,
compt,21.517,
compt,17.2054,
compt,12.7068,
compt,37.1762,
compt,10.2152,
compt,16.7192,
compt,13.631,
compt,47.7434,
compt,17.3425,
compt,39.1949,
compt,13.8001,
compt,73.6156,
compt,10.367,
compt,11.9274,
compt,10.5966,
compt,40.6025,
compt,44.9573,
compt,22.2011,
compt,12.4308,
compt,10.1776,
compt,36.9349,
compt,23.6867,
compt,10.7994,
compt,10.2618,
compt,14.6597,
compt,18.375,
compt,25.5932,
compt,19.5838,
compt,10.7187,
compt,23.9167,
compt,11.6464,
compt,19.8282,
compt,28.7764,
compt,20.7642,
compt,32.1834,
compt,14.7453,
compt,25.0581,
compt,26.6712,
compt,23.4832,
compt,14.6382,
compt,28.8772,
compt,31.0046,
compt,15.2195,
compt,17.768,
compt,16.1762,
compt,11.7817,
compt,31.483,
compt,37.7234,
compt,15.9538,
compt,17.4041,
compt,24.5066,
compt,41.2414,
compt,12.2701,
compt,10.3496,
compt,22.7389,
compt,18.3994,
compt,11.0205,
compt,23.0166,
compt,10.3397,
compt,18.4196,
compt,18.0453,
compt,14.5518,
compt,16.2489,
compt,19.2185,
compt,26.0579,
compt,11.4648,
compt,17.9687,
compt,12.2535,
compt,14.8679,
compt,19.9974,
compt,29.3264,
compt,27.1185,
compt,15.1448,
compt,30.2073,
compt,11.6695,
compt,15.4676,
compt,21.2942,
compt,29.8244,
compt,14.2938,
compt,19.4593,
compt,12.458,
compt,13.684,
compt,41.8574,
compt,19.3256,
compt,37.4049,
compt,10.9889,
compt,10.7281,
compt,93.2971,
compt,33.8986,
compt,12.9409,
compt,10.7136,
compt,17.2266,
compt,12.2647,
compt,15.8774,
compt,28.5878,
compt,33.432,
compt,24.3865,
compt,47.8854,
compt,18.7759,
compt,24.5986,
compt,13.8016,
compt,15.5629,
compt,17.3385,
compt,13.3425,
compt,14.0199,
compt,23.8751,
compt,25.4886,
compt,11.8466,
compt,13.1986,
compt,39.5168,
compt,24.5023,
compt,13.4505,
compt,19.8156,
compt,14.0134,
compt,15.71,
compt,32.4333,
compt,20.3707,
compt,25.99,
compt,11.4527,
compt,34.2608,
compt,27.9109,
compt,39.1341,
compt,20.0726,
compt,13.2922,
compt,30.2822,
compt,14.607,
compt,15.7348,
compt,29.0179,
compt,37.5095,
compt,41.6313,
compt,10.6803,
compt,16.4855,
compt,19.2286,
compt,12.1612,
compt,14.4798,
compt,36.3107,
compt,25.9844,
compt,24.3528,
compt,56.8512,
compt,18.195,
compt,12.9307,
Rayl,14.9832,
compt,18.0845,
compt,18.3346,
compt,49.2701,
compt,13.1018,
compt,20.6966,
compt,13.5601,
compt,50.0322,
compt,37.8852,
compt,14.0205,
compt,38.149,
compt,70.0328,
compt,33.8601,
compt,21.7756,
compt,25.2679,
compt,20.2445,
compt,18.7503,
compt,11.2912,
compt,30.1347,
compt,12.4561,
compt,23.4825,
compt,83.1949,
